stage,method,status,error,d,hidden_dim,hidden_multiplier,k,k_max,target_l0,lambda_prior,beta,best_epoch,epochs_trained,stopped_reason,runtime_seconds,peak_memory_mb,test_nmse,test_mse,l0,dead_pct,top1_agreement,original_top1_accuracy,reconstructed_top1_accuracy,logit_kl,suffix_max_abs_diff,checkpoint_path,sparsity_lambda,sparsity_target_l0,jump_init_threshold,jump_bandwidth
stage4,topk_nonorm,ok,,768,3072,4,128,,,,,54,87,early_stop_patience_30,89.6,586.2,0.37855532,0.03106819,128.0,0.0,0.95507812,0.90234375,0.88867188,0.04044868,0.001524209976196289,outputs/convnext_stage4_geomspace_sweep/checkpoints/stage4_topk_nonorm_k128.pt,,,,
stage4,variable_topk_original,ok,,768,3072,4,,128,128.0,0.003,0.0003,31,63,early_stop_patience_30,194.0,1552.9,0.3726823,0.03058619,116.29866869,0.0,0.94726562,0.90234375,0.88867188,0.04636497,0.001524209976196289,outputs/convnext_stage4_geomspace_sweep/checkpoints/stage4_variable_topk_original_k128.pt,,,,
stage4,topk_nonorm,ok,,768,3072,4,181,,,,,56,90,early_stop_patience_30,93.1,587.8,0.32793777,0.02691399,181.0,0.0,0.96484375,0.90234375,0.89453125,0.0327619,0.001524209976196289,outputs/convnext_stage4_geomspace_sweep/checkpoints/stage4_topk_nonorm_k181.pt,,,,
stage4,variable_topk_original,ok,,768,3072,4,,181,181.0,0.003,0.0003,31,63,early_stop_patience_30,249.8,2110.8,0.32436283,0.02662059,177.47185906,0.0,0.95117188,0.90234375,0.890625,0.03277297,0.001524209976196289,outputs/convnext_stage4_geomspace_sweep/checkpoints/stage4_variable_topk_original_k181.pt,,,,
stage4,l1_sae,ok,,768,3072,4,,,8.0,,,300,300,max_epochs,446.2,458.4,0.90095231,0.07394152,13.65636958,99.4466,0.046875,0.90234375,0.04296875,3.67263509,0.001524209976196289,outputs/convnext_stage4_geomspace_sweep/checkpoints/stage4_l1_sae_k8.pt,0.03,8.0,,
stage4,l1_sae,ok,,768,3072,4,,,11.0,,,43,77,early_stop_patience_30,120.0,458.4,0.9913352,0.08135928,11.72078284,98.5677,0.0,0.90234375,0.0,4.86362404,0.0007435083389282227,outputs/convnext_stage4_geomspace_sweep/checkpoints/stage4_l1_sae_k11.pt,0.035,11.0,,
stage4,l1_sae,ok,,768,3072,4,,,16.0,,,300,300,max_epochs,444.9,458.4,0.78077024,0.06407813,19.02881856,98.2096,0.54296875,0.90234375,0.52929688,1.41097195,0.001524209976196289,outputs/convnext_stage4_geomspace_sweep/checkpoints/stage4_l1_sae_k16.pt,0.025,16.0,,
stage4,l1_sae,ok,,768,3072,4,,,23.0,,,300,300,max_epochs,467.2,458.4,0.59267096,0.04864074,37.20157047,91.4714,0.88671875,0.90234375,0.83203125,0.27684689,0.001524209976196289,outputs/convnext_stage4_geomspace_sweep/checkpoints/stage4_l1_sae_k23.pt,0.018,23.0,,
stage4,l1_sae,ok,,768,3072,4,,,32.0,,,300,300,max_epochs,483.4,458.4,0.50794613,0.04168734,57.64213967,76.6276,0.91796875,0.90234375,0.859375,0.16687161,0.001524209976196289,outputs/convnext_stage4_geomspace_sweep/checkpoints/stage4_l1_sae_k32.pt,0.014,32.0,,
stage4,l1_sae,ok,,768,3072,4,,,45.0,,,296,300,max_epochs,470.4,458.4,0.45865895,0.03764232,77.76096142,56.543,0.93164062,0.90234375,0.875,0.12611358,0.001524209976196289,outputs/convnext_stage4_geomspace_sweep/checkpoints/stage4_l1_sae_k45.pt,0.0115,45.0,,
stage4,l1_sae,ok,,768,3072,4,,,64.0,,,297,300,max_epochs,502.6,458.4,0.42646973,0.03500054,97.79508131,44.0755,0.93359375,0.90234375,0.87109375,0.12169796,0.001524209976196289,outputs/convnext_stage4_geomspace_sweep/checkpoints/stage4_l1_sae_k64.pt,0.01,64.0,,
stage4,l1_sae,ok,,768,3072,4,,,91.0,,,294,300,max_epochs,478.2,458.4,0.3945048,0.03237717,122.41206952,30.599,0.93945312,0.90234375,0.8828125,0.09686418,0.001524209976196289,outputs/convnext_stage4_geomspace_sweep/checkpoints/stage4_l1_sae_k91.pt,0.0085,91.0,,
stage4,l1_sae,ok,,768,3072,4,,,128.0,,,296,300,max_epochs,484.3,458.4,0.37165917,0.03050222,146.41063457,20.638,0.953125,0.90234375,0.88476562,0.08155652,0.001524209976196289,outputs/convnext_stage4_geomspace_sweep/checkpoints/stage4_l1_sae_k128.pt,0.0073,128.0,,
stage4,l1_sae,ok,,768,3072,4,,,181.0,,,296,300,max_epochs,447.1,458.4,0.35712501,0.02930939,167.87854751,10.9049,0.94921875,0.90234375,0.87695312,0.07832174,0.001524209976196289,outputs/convnext_stage4_geomspace_sweep/checkpoints/stage4_l1_sae_k181.pt,0.0062,181.0,,
